stage,pnl,win_rate,signals,wins,losses,sideways,avg_pnl,pf,adx_threshold,ema_entry_len,ema_trend_len,hold_bars,rsi_len,stop_loss_pct,take_profit_pct,vol_mult
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-12.0,56.44,489,276,213,0,-0.0245,0.97,,,,48,,0.02,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-26.0,48.67,489,237,250,2,-0.0532,0.95,,,,48,,0.02,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,39.0,41.61,489,201,282,6,0.0798,1.07,,,,48,,0.02,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,58.0,35.37,489,168,307,14,0.1186,1.09,,,,48,,0.02,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,32.0,37.63,489,184,305,0,0.0654,1.13,,,,96,,0.008,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,26.0,30.47,489,149,340,0,0.0532,1.1,,,,96,,0.008,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,64.8,24.54,489,120,369,0,0.1325,1.22,,,,96,,0.008,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,98.4,20.86,489,102,387,0,0.2012,1.32,,,,96,,0.008,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,11.0,40.9,489,200,289,0,0.0225,1.04,,,,96,,0.01,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-3.0,33.13,489,162,327,0,-0.0061,0.99,,,,96,,0.01,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,51.0,27.61,489,135,354,0,0.1043,1.14,,,,96,,0.01,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,71.0,22.9,489,112,377,0,0.1452,1.19,,,,96,,0.01,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-4.5,49.69,489,243,246,0,-0.0092,0.99,,,,96,,0.015,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-12.5,42.13,489,206,283,0,-0.0256,0.97,,,,96,,0.015,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,40.5,35.17,489,172,317,0,0.0828,1.09,,,,96,,0.015,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,102.5,31.08,489,152,337,0,0.2096,1.2,,,,96,,0.015,0.04,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-12.0,56.44,489,276,213,0,-0.0245,0.97,,,,96,,0.02,0.015,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,-22.0,48.88,489,239,250,0,-0.045,0.96,,,,96,,0.02,0.02,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,52.0,42.13,489,206,283,0,0.1063,1.09,,,,96,,0.02,0.03,
GIAI ĐOẠN 1: Tối ưu HOLD_BARS / SL / TP,102.0,36.81,489,180,309,0,0.2086,1.17,,,,96,,0.02,0.04,
GIAI ĐOẠN 2: Tối ưu EMA / RSI / ADX / Volume,-32.5,26.43,700,185,515,0,-0.0464,0.96,18,15,100,,10,,,1.0
GIAI ĐOẠN 2: Tối ưu EMA / RSI / ADX / Volume,-37.5,26.04,553,144,409,0,-0.0678,0.94,18,15,100,,10,,,1.1
GIAI ĐOẠN 2: Tối ưu EMA / RSI / ADX / Volume,12.5,27.85,395,110,285,0,0.0316,1.03,18,15,100,,10,,,1.25
GIAI ĐOẠN 2: Tối ưu EMA / RSI / ADX / Volume,-10.5,26.96,612,165,447,0,-0.0172,0.98,20,15,100,,10,,,1.0
GIAI ĐOẠN 2: Tối ưu EMA / RSI / ADX / Volume,-16.5,26.65,484,129,355,0,-0.0341,0.97,20,15,100,,10,,,1.1
GIAI ĐOẠN 2: Tối ưu EMA / RSI / ADX / Volume,17.5,28.2,344,97,247,0,0.0509,1.05,20,15,100,,10,,,1.25
GIAI ĐOẠN 2: Tối ưu EMA / RSI / ADX / Volume,-64.0,24.38,402,98,304,0,-0.1592,0.86,25,15,100,,10,,,1.0
